countries,rating_average_vintage,rating_average_wine
Roumanie,4.5,4.4
Croatie,4.4,4.3
Argentine,4.321428571428572,4.42857142857143
Chili,4.120000000000001,4.468
Portugal,3.932258064516129,4.429032258064517
Moldavie,3.8714285714285714,4.471428571428571
États-Unis,3.698214285714285,4.506250000000001
Afrique du Sud,3.6562499999999996,4.465625000000001
Italie,3.630266075388031,4.478492239467868
Espagne,3.3809160305343484,4.467175572519083
Hongrie,3.171428571428571,4.4642857142857135
France,3.0650485436893224,4.484049930651893
Australie,2.8312500000000003,4.5
Grèce,2.3,4.4
Suisse,2.2,4.35
Allemagne,1.6958333333333335,4.475000000000001
Israël,0.0,4.5
